Economy,Economy Code,ISO Code,Region,Income Group,Report Year,WBL INDEX,MOBILITY,Can a woman choose where to live in the same way as a man?,Can a woman travel outside her home in the same way as a man?,Can a woman apply for a passport in the same way as a man?,Can a woman travel outside the country in the same way as a man?,WORKPLACE,Can a woman get a job in the same way as a man?,Does the law prohibit discrimination in employment based on gender?,Is there legislation on sexual harassment in employment?,Are there criminal penalties or civil remedies for sexual harassment in employment?,PAY,Does the law mandate equal remuneration for work of equal value?,Can a woman work at night in the same way as a man?,Can a woman work in a job deemed dangerous in the same way as a man?,Can a woman work in an industrial job in the same way as a man?,MARRIAGE,Is there no legal provision that requires a married woman to obey her husband?,Can a woman be head of household in the same way as a man?,Is there legislation specifically addressing domestic violence?,Can a woman obtain a judgment of divorce in the same way as a man?,Does a woman have the same rights to remarry as a man?,PARENTHOOD,Is paid leave of at least 14 weeks available to mothers?,Length of paid maternity leave,Does the government administer 100% of maternity leave benefits?,Is there paid leave available to fathers?,Length of paid paternity leave,Is there paid parental leave?,Shared days,Days for the mother,Days for the father,Is dismissal of pregnant workers prohibited?,ENTREPRENEURSHIP,Does the law prohibit discrimination in access to credit based on gender?,Can a woman sign a contract in the same way as a man?,Can a woman register a business in the same way as a man?,Can a woman open a bank account in the same way as a man?,ASSETS,Do men and women have equal ownership rights to immovable property?,Do sons and daughters have equal rights to inherit assets from their parents?,Do male and female surviving spouses have equal rights to inherit assets?,Does the law grant spouses equal administrative authority over assets during marriage?,Does the law provide for the valuation of nonmonetary contributions?,PENSION,Is the age at which men and women can retire with full pension benefits the same?,Is the age at which men and women can retire with partial pension benefits the same?,Is the mandatory retirement age for men and women the same?,Are periods of absence due to childcare accounted for in pension benefits?
Afghanistan,AFG,AFG,South Asia,Low income,1981,26.3,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,0,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
Afghanistan,AFG,AFG,South Asia,Low income,1982,26.3,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,0,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
Afghanistan,AFG,AFG,South Asia,Low income,1983,26.3,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,0,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
Afghanistan,AFG,AFG,South Asia,Low income,1984,26.3,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,0,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
Afghanistan,AFG,AFG,South Asia,Low income,1985,26.3,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,0,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
Afghanistan,AFG,AFG,South Asia,Low income,1986,26.3,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,0,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
Afghanistan,AFG,AFG,South Asia,Low income,1987,26.3,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,0,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
Afghanistan,AFG,AFG,South Asia,Low income,1988,26.3,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,0,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
Afghanistan,AFG,AFG,South Asia,Low income,1989,25.6,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,0,No,No,0,No,0,0,0,Yes,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,0,No,No,No,No
Afghanistan,AFG,AFG,South Asia,Low income,1990,25.6,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,0,No,No,0,No,0,0,0,Yes,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,0,No,No,No,No
Afghanistan,AFG,AFG,South Asia,Low income,1991,25.6,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,0,No,No,0,No,0,0,0,Yes,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,0,No,No,No,No
Afghanistan,AFG,AFG,South Asia,Low income,1992,25.6,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,0,No,No,0,No,0,0,0,Yes,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,0,No,No,No,No
Afghanistan,AFG,AFG,South Asia,Low income,1993,25.6,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,0,No,No,0,No,0,0,0,Yes,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,0,No,No,No,No
Afghanistan,AFG,AFG,South Asia,Low income,1994,25.6,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,0,No,No,0,No,0,0,0,Yes,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,0,No,No,No,No
Afghanistan,AFG,AFG,South Asia,Low income,1995,25.6,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,0,No,No,0,No,0,0,0,Yes,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,0,No,No,No,No
Afghanistan,AFG,AFG,South Asia,Low income,1996,25.6,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,No,0,No,0,0,0,Yes,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,0,No,No,No,No
Afghanistan,AFG,AFG,South Asia,Low income,1997,25.6,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,No,0,No,0,0,0,Yes,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,0,No,No,No,No
Afghanistan,AFG,AFG,South Asia,Low income,1998,25.6,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,No,0,No,0,0,0,Yes,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,0,No,No,No,No
Afghanistan,AFG,AFG,South Asia,Low income,1999,25.6,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,No,0,No,0,0,0,Yes,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,0,No,No,No,No
Afghanistan,AFG,AFG,South Asia,Low income,2000,26.3,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,90,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
Afghanistan,AFG,AFG,South Asia,Low income,2001,26.3,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,90,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
Afghanistan,AFG,AFG,South Asia,Low income,2002,26.3,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,90,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
Afghanistan,AFG,AFG,South Asia,Low income,2003,26.3,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,90,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
Afghanistan,AFG,AFG,South Asia,Low income,2004,26.3,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,90,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
Afghanistan,AFG,AFG,South Asia,Low income,2005,26.3,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,90,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
Afghanistan,AFG,AFG,South Asia,Low income,2006,26.3,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,90,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
Afghanistan,AFG,AFG,South Asia,Low income,2007,26.3,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,90,No,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
Afghanistan,AFG,AFG,South Asia,Low income,2008,28.8,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,Yes,14,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
Afghanistan,AFG,AFG,South Asia,Low income,2009,28.8,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,Yes,14,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
Afghanistan,AFG,AFG,South Asia,Low income,2010,28.8,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,Yes,14,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
Afghanistan,AFG,AFG,South Asia,Low income,2011,28.8,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,Yes,14,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
Afghanistan,AFG,AFG,South Asia,Low income,2012,28.8,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,Yes,14,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
Afghanistan,AFG,AFG,South Asia,Low income,2013,28.8,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,Yes,14,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
Afghanistan,AFG,AFG,South Asia,Low income,2014,28.8,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,Yes,14,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
Afghanistan,AFG,AFG,South Asia,Low income,2015,28.8,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,Yes,14,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
Afghanistan,AFG,AFG,South Asia,Low income,2016,28.8,25,No,No,No,Yes,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,Yes,14,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
Afghanistan,AFG,AFG,South Asia,Low income,2017,38.1,50,No,No,Yes,Yes,75,Yes,No,Yes,Yes,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,Yes,14,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
Afghanistan,AFG,AFG,South Asia,Low income,2018,38.1,50,No,No,Yes,Yes,75,Yes,No,Yes,Yes,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,Yes,14,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
Afghanistan,AFG,AFG,South Asia,Low income,2019,38.1,50,No,No,Yes,Yes,75,Yes,No,Yes,Yes,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,Yes,14,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
Afghanistan,AFG,AFG,South Asia,Low income,2020,38.1,50,No,No,Yes,Yes,75,Yes,No,Yes,Yes,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,Yes,14,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
Afghanistan,AFG,AFG,South Asia,Low income,2021,38.1,50,No,No,Yes,Yes,75,Yes,No,Yes,Yes,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,Yes,14,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
Afghanistan,AFG,AFG,South Asia,Low income,2022,38.1,50,No,No,Yes,Yes,75,Yes,No,Yes,Yes,0,No,No,No,No,20,No,Yes,No,No,No,20,No,90,No,Yes,14,No,0,0,0,No,75,No,Yes,Yes,Yes,40,Yes,No,No,Yes,No,25,No,No,Yes,No
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1971,59.4,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,84,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1972,59.4,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,84,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1973,59.4,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,84,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1974,59.4,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,84,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1975,59.4,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,84,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1976,59.4,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,84,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1977,59.4,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,84,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1978,59.4,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,84,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1979,59.4,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,84,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1980,59.4,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,84,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1981,59.4,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,84,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1982,59.4,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,84,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1983,59.4,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,84,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1984,59.4,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,84,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1985,59.4,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,84,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1986,59.4,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,84,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1987,59.4,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,84,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1988,59.4,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,84,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1989,59.4,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,84,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1990,59.4,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,84,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1991,59.4,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,84,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1992,59.4,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,84,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1993,59.4,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,20,No,84,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,0,No,No,No,No
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1994,65.0,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,40,Yes,365,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,25,No,No,No,Yes
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1995,65.0,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,40,Yes,365,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,25,No,No,No,Yes
Albania,ALB,ALB,Europe & Central Asia,Upper middle income,1996,65.0,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,75,No,Yes,Yes,Yes,80,Yes,Yes,No,Yes,Yes,40,Yes,365,Yes,No,0,No,0,0,0,No,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,25,No,No,No,Yes
