Base Dataset,SERIES Code,SERIES Description,REF_AREA Code,REF_AREA Description,TIME_PERIOD,TIME_DETAIL,OBS_VALUE,UNIT_MEASURE Code,UNIT_MEASURE Description,Sex code,Sex,Nature code,Reporting Type code,Reporting Type,Type of Occupation code,Type of Occupation,SOURCE_DETAIL,COMMENT_OBS
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","724","Spain","2018","2018","14","local currency","CUR_LCU","FEMALE","Female","C","G","Global","_T","All occupations (isco-08)","ES - Annual Wage Structure Survey","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies ,  Reference group coverage: Employees ,  Local currency: ESP - Euro(EUR) ,  Job coverage: Main job currently held ,  Working time arrangement coverage: Full-time and part time workers"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","724","Spain","2018","2018","16","local currency","CUR_LCU","_T","Both Sexes","C","G","Global","_T","All occupations (isco-08)","ES - Annual Wage Structure Survey","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies ,  Reference group coverage: Employees ,  Local currency: ESP - Euro(EUR) ,  Job coverage: Main job currently held ,  Working time arrangement coverage: Full-time and part time workers"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","724","Spain","2018","2018","17","local currency","CUR_LCU","MALE","Male","C","G","Global","_T","All occupations (isco-08)","ES - Annual Wage Structure Survey","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies ,  Reference group coverage: Employees ,  Local currency: ESP - Euro(EUR) ,  Job coverage: Main job currently held ,  Working time arrangement coverage: Full-time and part time workers"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","144","Sri Lanka","2013","2013","96.9","local currency","CUR_LCU","_T","Both Sexes","C","G","Global","_T","All occupations (isco-08)","LFS - Sri Lanka Labour Force Survey","Repository: ILO-STATISTICS - Micro data processing ,  Local currency: LKA - Sri Lankan rupee(LKR)"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","144","Sri Lanka","2013","2013","91.8","local currency","CUR_LCU","FEMALE","Female","C","G","Global","_T","All occupations (isco-08)","LFS - Sri Lanka Labour Force Survey","Repository: ILO-STATISTICS - Micro data processing ,  Local currency: LKA - Sri Lankan rupee(LKR)"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","144","Sri Lanka","2013","2013","99.4","local currency","CUR_LCU","MALE","Male","C","G","Global","_T","All occupations (isco-08)","LFS - Sri Lanka Labour Force Survey","Repository: ILO-STATISTICS - Micro data processing ,  Local currency: LKA - Sri Lankan rupee(LKR)"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","144","Sri Lanka","2014","2014","104.8","local currency","CUR_LCU","_T","Both Sexes","C","G","Global","_T","All occupations (isco-08)","LFS - Sri Lanka Labour Force Survey","Repository: ILO-STATISTICS - Micro data processing ,  Local currency: LKA - Sri Lankan rupee(LKR)"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","144","Sri Lanka","2014","2014","101.5","local currency","CUR_LCU","FEMALE","Female","C","G","Global","_T","All occupations (isco-08)","LFS - Sri Lanka Labour Force Survey","Repository: ILO-STATISTICS - Micro data processing ,  Local currency: LKA - Sri Lankan rupee(LKR)"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","144","Sri Lanka","2014","2014","106.5","local currency","CUR_LCU","MALE","Male","C","G","Global","_T","All occupations (isco-08)","LFS - Sri Lanka Labour Force Survey","Repository: ILO-STATISTICS - Micro data processing ,  Local currency: LKA - Sri Lankan rupee(LKR)"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","144","Sri Lanka","2015","2015","119.8","local currency","CUR_LCU","FEMALE","Female","C","G","Global","_T","All occupations (isco-08)","LFS - Sri Lanka Labour Force Survey","Repository: ILO-STATISTICS - Micro data processing ,  Local currency: LKA - Sri Lankan rupee(LKR)"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","144","Sri Lanka","2015","2015","121.2","local currency","CUR_LCU","_T","Both Sexes","C","G","Global","_T","All occupations (isco-08)","LFS - Sri Lanka Labour Force Survey","Repository: ILO-STATISTICS - Micro data processing ,  Local currency: LKA - Sri Lankan rupee(LKR)"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","144","Sri Lanka","2015","2015","121.9","local currency","CUR_LCU","MALE","Male","C","G","Global","_T","All occupations (isco-08)","LFS - Sri Lanka Labour Force Survey","Repository: ILO-STATISTICS - Micro data processing ,  Local currency: LKA - Sri Lankan rupee(LKR)"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","144","Sri Lanka","2016","2016","134.8","local currency","CUR_LCU","_T","Both Sexes","C","G","Global","_T","All occupations (isco-08)","LFS - Sri Lanka Labour Force Survey","Repository: ILO-STATISTICS - Micro data processing ,  Local currency: LKA - Sri Lankan rupee(LKR)"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","144","Sri Lanka","2016","2016","138.5","local currency","CUR_LCU","MALE","Male","C","G","Global","_T","All occupations (isco-08)","LFS - Sri Lanka Labour Force Survey","Repository: ILO-STATISTICS - Micro data processing ,  Local currency: LKA - Sri Lankan rupee(LKR)"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","144","Sri Lanka","2016","2016","127.6","local currency","CUR_LCU","FEMALE","Female","C","G","Global","_T","All occupations (isco-08)","LFS - Sri Lanka Labour Force Survey","Repository: ILO-STATISTICS - Micro data processing ,  Local currency: LKA - Sri Lankan rupee(LKR)"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","144","Sri Lanka","2017","2017","146.9","local currency","CUR_LCU","_T","Both Sexes","C","G","Global","_T","All occupations (isco-08)","LFS - Sri Lanka Labour Force Survey","Repository: ILO-STATISTICS - Micro data processing ,  Local currency: LKA - Sri Lankan rupee(LKR)"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","144","Sri Lanka","2017","2017","151.5","local currency","CUR_LCU","MALE","Male","C","G","Global","_T","All occupations (isco-08)","LFS - Sri Lanka Labour Force Survey","Repository: ILO-STATISTICS - Micro data processing ,  Local currency: LKA - Sri Lankan rupee(LKR)"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","144","Sri Lanka","2017","2017","138.8","local currency","CUR_LCU","FEMALE","Female","C","G","Global","_T","All occupations (isco-08)","LFS - Sri Lanka Labour Force Survey","Repository: ILO-STATISTICS - Micro data processing ,  Local currency: LKA - Sri Lankan rupee(LKR)"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","144","Sri Lanka","2018","2018","151","local currency","CUR_LCU","FEMALE","Female","C","G","Global","_T","All occupations (isco-08)","LFS - Sri Lanka Labour Force Survey","Repository: ILO-STATISTICS - Micro data processing ,  Local currency: LKA - Sri Lankan rupee(LKR)"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","144","Sri Lanka","2018","2018","161.4","local currency","CUR_LCU","MALE","Male","C","G","Global","_T","All occupations (isco-08)","LFS - Sri Lanka Labour Force Survey","Repository: ILO-STATISTICS - Micro data processing ,  Local currency: LKA - Sri Lankan rupee(LKR)"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","144","Sri Lanka","2018","2018","157.9","local currency","CUR_LCU","_T","Both Sexes","C","G","Global","_T","All occupations (isco-08)","LFS - Sri Lanka Labour Force Survey","Repository: ILO-STATISTICS - Micro data processing ,  Local currency: LKA - Sri Lankan rupee(LKR)"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","752","Sweden","2014","2014","174.1","local currency","CUR_LCU","FEMALE","Female","C","G","Global","_T","All occupations (isco-08)","ES - Salary Structure Statistics","Repository: Eurostat ,  Data reference period: September ,  Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies ,  Establishment size coverage: All establishments with at least 10 employees ,  Age coverage - minimum age: 17 years old | Local currency: SWE - Swedish krona(SEK)"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","752","Sweden","2014","2014","202.1","local currency","CUR_LCU","MALE","Male","C","G","Global","_T","All occupations (isco-08)","ES - Salary Structure Statistics","Repository: Eurostat ,  Data reference period: September ,  Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies ,  Establishment size coverage: All establishments with at least 10 employees ,  Age coverage - minimum age: 17 years old | Local currency: SWE - Swedish krona(SEK)"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","752","Sweden","2014","2014","187.8","local currency","CUR_LCU","_T","Both Sexes","C","G","Global","_T","All occupations (isco-08)","ES - Salary Structure Statistics","Repository: Eurostat ,  Data reference period: September ,  Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies ,  Establishment size coverage: All establishments with at least 10 employees ,  Age coverage - minimum age: 17 years old | Local currency: SWE - Swedish krona(SEK)"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","752","Sweden","2015","2015","186","local currency","CUR_LCU","_T","Both Sexes","C","G","Global","_T","All occupations (isco-08)","ES - Salary Structure Statistics","Data reference period: September ,  Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies ,  Establishment size coverage: All establishments with at least 10 employees ,  Local currency: SWE - Swedish krona(SEK) ,  Working time arrangement coverage: Full-time equivalents"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","752","Sweden","2015","2015","198.3","local currency","CUR_LCU","MALE","Male","C","G","Global","_T","All occupations (isco-08)","ES - Salary Structure Statistics","Data reference period: September ,  Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies ,  Establishment size coverage: All establishments with at least 10 employees ,  Local currency: SWE - Swedish krona(SEK) ,  Working time arrangement coverage: Full-time equivalents"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","752","Sweden","2015","2015","173.8","local currency","CUR_LCU","FEMALE","Female","C","G","Global","_T","All occupations (isco-08)","ES - Salary Structure Statistics","Data reference period: September ,  Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies ,  Establishment size coverage: All establishments with at least 10 employees ,  Local currency: SWE - Swedish krona(SEK) ,  Working time arrangement coverage: Full-time equivalents"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","752","Sweden","2016","2016","202.9","local currency","CUR_LCU","MALE","Male","C","G","Global","_T","All occupations (isco-08)","ES - Salary Structure Statistics","Data reference period: September ,  Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies ,  Establishment size coverage: All establishments with at least 10 employees ,  Local currency: SWE - Swedish krona(SEK) ,  Working time arrangement coverage: Full-time equivalents"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","752","Sweden","2016","2016","190.7","local currency","CUR_LCU","_T","Both Sexes","C","G","Global","_T","All occupations (isco-08)","ES - Salary Structure Statistics","Data reference period: September ,  Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies ,  Establishment size coverage: All establishments with at least 10 employees ,  Local currency: SWE - Swedish krona(SEK) ,  Working time arrangement coverage: Full-time equivalents"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","752","Sweden","2016","2016","178.5","local currency","CUR_LCU","FEMALE","Female","C","G","Global","_T","All occupations (isco-08)","ES - Salary Structure Statistics","Data reference period: September ,  Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies ,  Establishment size coverage: All establishments with at least 10 employees ,  Local currency: SWE - Swedish krona(SEK) ,  Working time arrangement coverage: Full-time equivalents"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","752","Sweden","2017","2017","207.6","local currency","CUR_LCU","MALE","Male","C","G","Global","_T","All occupations (isco-08)","ES - Salary Structure Statistics","Data reference period: September ,  Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies ,  Establishment size coverage: All establishments with at least 10 employees ,  Local currency: SWE - Swedish krona(SEK) ,  Working time arrangement coverage: Full-time equivalents"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","752","Sweden","2017","2017","195.9","local currency","CUR_LCU","_T","Both Sexes","C","G","Global","_T","All occupations (isco-08)","ES - Salary Structure Statistics","Data reference period: September ,  Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies ,  Establishment size coverage: All establishments with at least 10 employees ,  Local currency: SWE - Swedish krona(SEK) ,  Working time arrangement coverage: Full-time equivalents"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","752","Sweden","2017","2017","184.3","local currency","CUR_LCU","FEMALE","Female","C","G","Global","_T","All occupations (isco-08)","ES - Salary Structure Statistics","Data reference period: September ,  Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies ,  Establishment size coverage: All establishments with at least 10 employees ,  Local currency: SWE - Swedish krona(SEK) ,  Working time arrangement coverage: Full-time equivalents"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","752","Sweden","2018","2018","189.5","local currency","CUR_LCU","FEMALE","Female","C","G","Global","_T","All occupations (isco-08)","ES - Salary Structure Statistics","Data reference period: September ,  Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies ,  Establishment size coverage: All establishments with at least 10 employees ,  Local currency: SWE - Swedish krona(SEK) ,  Working time arrangement coverage: Full-time equivalents"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","752","Sweden","2018","2018","201.2","local currency","CUR_LCU","_T","Both Sexes","C","G","Global","_T","All occupations (isco-08)","ES - Salary Structure Statistics","Data reference period: September ,  Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies ,  Establishment size coverage: All establishments with at least 10 employees ,  Local currency: SWE - Swedish krona(SEK) ,  Working time arrangement coverage: Full-time equivalents"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","752","Sweden","2018","2018","212.2","local currency","CUR_LCU","MALE","Male","C","G","Global","_T","All occupations (isco-08)","ES - Salary Structure Statistics","Data reference period: September ,  Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies ,  Establishment size coverage: All establishments with at least 10 employees ,  Local currency: SWE - Swedish krona(SEK) ,  Working time arrangement coverage: Full-time equivalents"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","756","Switzerland","2014","2014","41","local currency","CUR_LCU","_T","Both Sexes","C","G","Global","_T","All occupations (isco-08)","ES - Structure of Earnings Survey","Repository: Eurostat ,  Data reference period: October ,  Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies ,  Establishment size coverage: All establishments with at least 10 employees ,  Local currency: CHE - Swiss franc(CHF)"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","756","Switzerland","2014","2014","44.4","local currency","CUR_LCU","MALE","Male","C","G","Global","_T","All occupations (isco-08)","ES - Structure of Earnings Survey","Repository: Eurostat ,  Data reference period: October ,  Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies ,  Establishment size coverage: All establishments with at least 10 employees ,  Local currency: CHE - Swiss franc(CHF)"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","756","Switzerland","2014","2014","36.7","local currency","CUR_LCU","FEMALE","Female","C","G","Global","_T","All occupations (isco-08)","ES - Structure of Earnings Survey","Repository: Eurostat ,  Data reference period: October ,  Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies ,  Establishment size coverage: All establishments with at least 10 employees ,  Local currency: CHE - Swiss franc(CHF)"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","756","Switzerland","2018","2018","41","local currency","CUR_LCU","_T","Both Sexes","C","G","Global","_T","All occupations (isco-08)","ES - Structure of Earnings Survey","Repository: Eurostat ,  Data reference period: October ,  Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies ,  Establishment size coverage: All establishments with at least 10 employees ,  Local currency: CHE - Swiss franc(CHF)"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","756","Switzerland","2018","2018","45","local currency","CUR_LCU","MALE","Male","C","G","Global","_T","All occupations (isco-08)","ES - Structure of Earnings Survey","Repository: Eurostat ,  Data reference period: October ,  Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies ,  Establishment size coverage: All establishments with at least 10 employees ,  Local currency: CHE - Swiss franc(CHF)"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","756","Switzerland","2018","2018","37","local currency","CUR_LCU","FEMALE","Female","C","G","Global","_T","All occupations (isco-08)","ES - Structure of Earnings Survey","Repository: Eurostat ,  Data reference period: October ,  Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies ,  Establishment size coverage: All establishments with at least 10 employees ,  Local currency: CHE - Swiss franc(CHF)"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","626","Timor-Leste","2010","2010","1.1","local currency","CUR_LCU","FEMALE","Female","C","G","Global","_T","All occupations (isco-08)","LFS - Labour Force Survey","Repository: ILO-STATISTICS - Micro data processing ,  Local currency: TLS - United States dollar(USD) ,  Break in series: Methodology revised"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","626","Timor-Leste","2010","2010","1","local currency","CUR_LCU","MALE","Male","C","G","Global","_T","All occupations (isco-08)","LFS - Labour Force Survey","Repository: ILO-STATISTICS - Micro data processing ,  Local currency: TLS - United States dollar(USD) ,  Break in series: Methodology revised"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","626","Timor-Leste","2010","2010","1","local currency","CUR_LCU","_T","Both Sexes","C","G","Global","_T","All occupations (isco-08)","LFS - Labour Force Survey","Repository: ILO-STATISTICS - Micro data processing ,  Local currency: TLS - United States dollar(USD) ,  Break in series: Methodology revised"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","626","Timor-Leste","2013","2013","3.4","local currency","CUR_LCU","FEMALE","Female","C","G","Global","_T","All occupations (isco-08)","LFS - Labour Force Survey","Repository: ILO-STATISTICS - Micro data processing ,  Employment definition: Excluding own-use production workers ,  Local currency: TLS - United States dollar(USD) ,  Break in series: Methodology revised"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","626","Timor-Leste","2013","2013","4","local currency","CUR_LCU","_T","Both Sexes","C","G","Global","_T","All occupations (isco-08)","LFS - Labour Force Survey","Repository: ILO-STATISTICS - Micro data processing ,  Employment definition: Excluding own-use production workers ,  Local currency: TLS - United States dollar(USD) ,  Break in series: Methodology revised"
"SDG","SL_EMP_EARN","Average hourly earnings of employees by sex and occupation (local currency)","626","Timor-Leste","2013","2013","4.2","local currency","CUR_LCU","MALE","Male","C","G","Global","_T","All occupations (isco-08)","LFS - Labour Force Survey","Repository: ILO-STATISTICS - Micro data processing ,  Employment definition: Excluding own-use production workers ,  Local currency: TLS - United States dollar(USD) ,  Break in series: Methodology revised"
